Firm,Expected Total,Expected Total Source,Discovered URLs,Extracted Attorneys,US Attorneys,Coverage Ratio,Missing Fields Ratio,Status,Legally Incomplete Reason,Sources Tried,Notes
Cravath,,unknown,229,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
DLA Piper (verein),,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Sidley,,unknown,2046,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
Ropes & Gray,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=ropesgray.com, structure_type=BOT_PROTECTED, is_bot_protected=True"
White & Case,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=whitecase.com, structure_type=BOT_PROTECTED, is_bot_protected=True"
Hogan Lovells,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,AUTH_REQUIRED,,Legally inaccessible: AUTH_REQUIRED
Jones Day,,unknown,2467,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
Dentons (verein),,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,AUTH_REQUIRED,,Legally inaccessible: AUTH_REQUIRED
Greenberg Traurig,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Goodwin Procter,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
McDermott,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Holland & Knight,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Weil,,unknown,1293,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
Willkie,,unknown,1510,0,0,,0.0%,PARTIAL,,xml_sitemap,
Cleary Gottlieb,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Debevoise,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Akin,,unknown,13,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
Morrison & Foerster,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Squire Patton (verein),,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Perkins Coie,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_NO_STRATEGY,,No viable legal strategy: site is bot-protected with no accessible sitemap
Sheppard Mullin,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=sheppardmullin.com, structure_type=BOT_PROTECTED, is_bot_protected=False"
Wachtell,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=wlrk.com, structure_type=BOT_PROTECTED, is_bot_protected=True"
Faegre Drinker,,unknown,1244,5,5,,100.0%,BLOCKED,ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403,xml_sitemap,[ABORT] ACCESS_DENIED_RUNTIME: first 5 profiles all returned bot-protection 403
